UniqueFireIdentifier,IncidentName,FireDiscoveryDateTime,FireCause,DailyAcres,EstimatedCostToDate,FireMgmtComplexity,FireToDate,POOCounty,POOState,POOLandownerKind,IncidentTypeCategory,PredominantFuelGroup,FireDiscoveryYear,FireDiscoveryMonth,key,Residences Threatened,Residences Destroyed,Other Structures Threatened,Other Structures Destroyed,Number Injuries,Number Fatalities,Final Fire Acre Quantity
2015-WVWVS-F201550069,Mohler Road,2015-11-17 18:30:00+00:00,Human,140.0,1091.0,Type 5 Incident,2015/11/17 18:30:00+00,Boone,US-WV,,WF,,2015,11,2015-11-17WVBOONE,0.0,0.0,0.0,0.0,0.0,0.0,2617.0
2020-MTBDF-006672,Lobo Mesa,2020-09-12 16:49:00+00:00,Unknown,330.0,250000.0,Type 4 Incident,2020/10/29 12:00:00+00,Madison,US-MT,Federal,WF,Timber,2020,9,2020-09-12MTMADISON,,,,,,,
2016-FLBCP-016028,BIRDON,2016-05-06 21:59:59+00:00,Undetermined,9226.0,50000.0,Type 5 Incident,2016/05/20 21:00:00+00,Collier,US-FL,Federal,WF,,2016,5,2016-05-06FLCOLLIER,,,,,,,
2015-OKCNA-015001,SMITH LAKE,2015-01-06 21:30:00+00:00,Human,4.1,2100.0,,,Adair,US-OK,,WF,,2015,1,2015-01-06OKADAIR,,,,,,,
2017-AKTAS-713136,North Robertson,2017-06-01 18:21:47+00:00,Undetermined,832.4,2409971.0,Type 4 Incident,2017/07/14 03:59:59+00,Southeast Fairbanks,US-AK,Private,WF,,2017,6,2017-06-01AKSOUTHEAST FAIRBANKS,,,,,,,
2019-AKCRS-914608,Tokaina Creek,2019-07-18 02:17:39+00:00,Natural,823.3,13035.0,Type 4 Incident,2019/12/12 15:59:59+00,Valdez-Cordova,US-AK,Other,WF,,2019,7,2019-07-18AKVALDEZ-CORDOVA,,,,,,,
2017-TXMCR-000002,WF MORNING FIRE,2017-06-26 12:59:59+00:00,,500.0,40000.0,Type 4 Incident,2017/06/30 23:00:00+00,Jefferson,US-TX,,WF,,2017,6,2017-06-26TXJEFFERSON,,,,,,,
2018-AKUYD-000151,Globe Creek,2018-06-06 01:44:27+00:00,Natural,0.1,0.0,,,Yukon-Koyukuk,US-AK,Other,WF,,2018,6,2018-06-06AKYUKON-KOYUKUK,,,,,,,
2016-FLEAQ-000003,Blackout,2016-04-10 23:00:00+00:00,Human,1038.0,15000.0,Type 4 Incident,2016/04/10 23:00:00+00,Okaloosa,US-FL,,WF,,2016,4,2016-04-10FLOKALOOSA,,,,,,,
2016-IDIPF-000398,Granite,2016-08-16 21:03:00+00:00,Natural,1030.0,25000.0,Type 4 Incident,2016/09/30 19:30:00+00,Shoshone,US-ID,Federal,WF,,2016,8,2016-08-16IDSHOSHONE,,,,,,,
2016-AKUYD-000344,F/A #10,2016-06-26 23:55:07+00:00,Natural,0.1,0.0,,,Yukon-Koyukuk,US-AK,Private,WF,,2016,6,2016-06-26AKYUKON-KOYUKUK,,,,,,,
2018-TXBRR-00L0DR,Bermuda lightning,2018-07-14 19:30:00+00:00,Natural,352.0,8000.0,Type 4 Incident,2018/07/14 19:44:59+00,Brazoria,US-TX,Federal,WF,,2018,7,2018-07-14TXBRAZORIA,,,,,,,
2018-COGWD-000138,BOCCO,2018-06-09 20:48:59+00:00,Unknown,455.0,700000.0,Type 5 Incident,2018/06/17 21:00:00+00,Eagle,US-CO,Federal,WF,,2018,6,2018-06-09COEAGLE,0.0,0.0,0.0,0.0,0.0,0.0,0.001
2016-AZFTA-000403,Cedar,2016-06-15 18:42:00+00:00,Undetermined,45977.0,14000000.0,Type 5 Incident,2016/07/29 00:59:59+00,Navajo,US-AZ,Federal,WF,,2016,6,2016-06-15AZNAVAJO,,,,,,,
2017-AKMID-00010C,FWA Small Arms Complex,2017-04-29 16:00:15+00:00,Human,1100.0,0.0,,,Fairbanks North Star,US-AK,Federal,RX,,2017,4,2017-04-29AKFAIRBANKS NORTH STAR,,,,,,,
2020-COSJF-001214,Ice,2020-10-19 19:31:59+00:00,Unknown,597.8,1000000.0,Type 4 Incident,2020/10/27 14:00:00+00,San Juan,US-CO,Federal,WF,Timber,2020,10,2020-10-19COSAN JUAN,,,,,,,
2018-GAGAS-061805,Hwy 117 fire  Telfair Co.,2018-04-03 18:14:59+00:00,Human,144.0,7110.0,Type 4 Incident,2018/04/03 18:14:59+00,Telfair,US-GA,,WF,,2018,4,2018-04-03GATELFAIR,,,,,,,
2014-PAPAS-09142001,Country Air,2014-07-07 17:00:00+00:00,Human,6.85,1000.0,,,Clearfield,US-PA,,WF,,2014,7,2014-07-07PACLEARFIELD,,,,,,,
2017-CAMMU-011650,OAKWOOD,2017-06-10 21:55:00+00:00,,1431.0,1500000.0,Type 3 Incident,2017/06/13 12:59:59+00,Madera,US-CA,,WF,,2017,6,2017-06-10CAMADERA,0.0,0.0,22.0,0.0,0.0,0.0,1422.7
2018-MNMNS-142-020,55 Fire,2018-04-28 22:30:00+00:00,Human,10.0,400.0,Type 4 Incident,2018/04/29 23:00:00+00,Cass,US-MN,,WF,,2018,4,2018-04-28MNCASS,0.0,0.0,0.0,0.0,1.0,0.0,10.2
2018-TXTXS-180909,Gifco ,2018-08-03 22:34:59+00:00,Unknown,508.0,1.0,Type 5 Incident,2018/08/08 15:59:59+00,Ellis,US-TX,,WF,,2018,8,2018-08-03TXELLIS,20.0,0.0,0.0,0.0,0.0,0.0,508.0
2017-MTMCD-000129,Howard,2017-07-04 15:35:00+00:00,Human,371.8,10500.0,Type 4 Incident,2017/07/05 12:59:59+00,Rosebud,US-MT,,WF,,2017,7,2017-07-04MTROSEBUD,0.0,0.0,0.0,0.0,0.0,0.0,380.8
2017-MTFNF-000600,Dolly Varden,2017-08-16 00:26:30+00:00,Natural,424.0,52000.0,Type 4 Incident,2017/09/29 12:14:59+00,Flathead,US-MT,Federal,WF,,2017,8,2017-08-16MTFLATHEAD,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2017-FLFLS-060487,193RD Road,2017-03-29 18:59:59+00:00,Human,5.0,0.0,Type 5 Incident,2017/04/03 14:00:00+00,Suwannee,US-FL,,WF,,2017,3,2017-03-29FLSUWANNEE,0.0,0.0,0.0,1.0,0.0,0.0,7.3
2016-ALALF-160625,Welcome Home 2,2016-10-30 12:00:00+00:00,Human,18.0,35000.0,Type 4 Incident,2016/12/06 12:30:00+00,Clay,US-AL,Federal,WF,,2016,10,2016-10-30ALCLAY,,,,,,,
2014-OKTSR-000359,MURRAY 23,2014-12-01 12:00:00+00:00,Human,50.0,5000.0,,,Johnston,US-OK,Federal,WF,,2014,12,2014-12-01OKJOHNSTON,,,,,,,
2016-FLFLS-2016160080,Fox Brown Road,2016-03-07 03:00:00+00:00,Human,313.0,0.0,Type 5 Incident,2016/03/10 23:00:00+00,Martin,US-FL,,WF,,2016,3,2016-03-07FLMARTIN,,,,,,,
2017-AKMID-000111,CALFEX 2,2017-05-18 02:35:45+00:00,Human,0.5,0.0,,,Fairbanks North Star,US-AK,Federal,WF,,2017,5,2017-05-18AKFAIRBANKS NORTH STAR,,,,,,,
2020-IDBOD-000960,JORDAN,2020-10-30 20:29:59+00:00,Human,3092.7,255000.0,Type 4 Incident,2020/11/01 14:00:00+00,Owyhee,US-ID,Private,WF,Grass-Shrub,2020,10,2020-10-30IDOWYHEE,,,,,,,
2017-MSMSS-004802,Edwin Ladner Rd,2017-10-06 21:30:00+00:00,,29.0,5800.0,Type 5 Incident,2017/10/12 21:30:00+00,Harrison,US-MS,,WF,,2017,10,2017-10-06MSHARRISON,7.0,0.0,5.0,0.0,0.0,0.0,29.0
2014-WANES-000819,RISING EAGLE ROAD,2014-08-01 20:57:00+00:00,Human,0.1,1062000.0,,,Okanogan,US-WA,,WF,,2014,8,2014-08-01WAOKANOGAN,,,,,,,
2021-OKOKS-400003,Bowers Fire,2021-03-02 18:30:00+00:00,,1759.0,39000.0,Type 4 Incident,2021/03/03 19:30:00+00,Major,US-OK,Private,WF,,2021,3,2021-03-02OKMAJOR,,,,,,,
2018-OKECU-180159,BASCOME,2018-03-24 17:00:00+00:00,,1894.0,2600.0,Type 4 Incident,2018/03/25 01:44:59+00,Pittsburg,US-OK,,WF,,2018,3,2018-03-24OKPITTSBURG,,,,,,,
2016-ALALF-160618,WATER WHEEL,2016-10-07 22:05:00+00:00,Human,3.3,10000.0,Type 4 Incident,2016/12/06 12:59:59+00,Talladega,US-AL,Federal,WF,,2016,10,2016-10-07ALTALLADEGA,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-WIWIS-1102071015,Seeley Creek Road Fire,2015-04-04 20:00:00+00:00,Human,2.4,600.0,,2015/04/04 20:00:00+00,Sauk,US-WI,,WF,,2015,4,2015-04-04WISAUK,0.0,0.0,5.0,1.0,0.0,0.0,3.0
2017-AKUYD-000375,Fisher Creek,2017-07-31 03:00:43+00:00,Natural,29.1,0.0,,,Southeast Fairbanks,US-AK,Federal,WF,,2017,7,2017-07-31AKSOUTHEAST FAIRBANKS,,,,,,,
2018-SCSCS-18WF0401,Risher Street Fire,2018-03-26 14:00:00+00:00,Human,180.0,550.0,Type 5 Incident,2018/03/26 14:15:00+00,Hampton,US-SC,,WF,,2018,3,2018-03-26SCHAMPTON,,,,,,,
2015-OKOSA-015018,JOHN C,2015-01-29 00:14:00+00:00,Human,1.0,500.0,,,Osage,US-OK,Federal,WF,,2015,1,2015-01-29OKOSAGE,,,,,,,
2018-AKGAD-000119,North Innoko,2018-06-04 20:18:14+00:00,Natural,1717.8,36411.0,,2018/06/22 02:45:00+00,Yukon-Koyukuk,US-AK,Federal,WF,,2018,6,2018-06-04AKYUKON-KOYUKUK,,,,,,,
2018-OKOKS-180043,Dollar Pond,2018-04-13 21:00:00+00:00,Unknown,257.4,30000.0,Type 3 Incident,2018/04/15 21:59:59+00,Caddo,US-OK,,WF,,2018,4,2018-04-13OKCADDO,,,,,,,
2020-CAPNF-001299,Sheep,2020-08-17 19:20:00+00:00,Natural,29570.0,21600000.0,Type 2 Incident,2020/09/09 00:59:59+00,Plumas,US-CA,Private,WF,Grass-Shrub,2020,8,2020-08-17CAPLUMAS,,,,,,,
2017-ORUPF-000418,DL RATTLESNAKE MT,2017-08-11 19:44:59+00:00,Natural,1246.0,60000.0,Type 3 Incident,2017/08/31 00:59:59+00,Douglas,US-OR,Federal,WF,,2017,8,2017-08-11ORDOUGLAS,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2015-FLFLS-2015080121,North  East Levy Street,2015-05-19 22:30:00+00:00,Human,1.0,0.0,Type 5 Incident,2015/05/23 14:00:00+00,Levy,US-FL,,WF,,2015,5,2015-05-19FLLEVY,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2016-MSMSS-002656,Benton,2016-10-05 18:56:00+00:00,Undetermined,10.0,200.0,Type 5 Incident,2016/10/28 18:45:00+00,Benton,US-MS,,WF,,2016,10,2016-10-05MSBENTON,0.0,0.0,0.0,1.0,0.0,0.0,10.0
2016-NCNCS-160056,2 Mile,2016-11-20 15:45:00+00:00,Human,440.0,35000.0,Type 4 Incident,2016/11/25 21:59:59+00,Ashe,US-NC,,WF,,2016,11,2016-11-20NCASHE,28.0,0.0,22.0,2.0,0.0,0.0,861.4
2020-OKCNA-300086,Malloy Hollow,2020-03-08 15:59:59+00:00,Human,250.0,12500.0,Type 4 Incident,2020/03/09 15:59:59+00,Adair,US-OK,Federal,WF,Timber,2020,3,2020-03-08OKADAIR,,,,,,,
2016-ARBUP-160003,LOVE-HENSLEY BLUFF,2016-01-28 21:00:00+00:00,Human,469.0,5000.0,Type 4 Incident,2016/01/30 14:00:00+00,Searcy,US-AR,Federal,WF,,2016,1,2016-01-28ARSEARCY,,,,,,,
2018-NVPERX-020288,Willow,2018-08-07 02:18:00+00:00,Human,317.25,65000.0,Type 4 Incident,2018/08/08 08:00:00+00,Pershing,US-NV,,WF,,2018,8,2018-08-07NVPERSHING,,,,,,,
2020-PAPAS-000168,Concord,2020-06-16 19:58:49+00:00,Human,0.1,2345.0,Type 5 Incident,2020/06/16 20:29:59+00,Erie,US-PA,Private,WF,,2020,6,2020-06-16PAERIE,1.0,0.0,1.0,1.0,0.0,0.0,0.1
2016-VAVAS-16060024,Blackwater,2016-03-18 23:00:00+00:00,Human,150.0,5000.0,Type 3 Incident,2016/03/20 12:00:00+00,Lee,US-VA,,WF,,2016,3,2016-03-18VALEE,,,,,,,
2017-ARARS-0275D6,Bass,2017-11-25 14:15:00+00:00,,202.0,1613.0,Type 5 Incident,2017/11/25 14:15:00+00,Newton,US-AR,,WF,,2017,11,2017-11-25ARNEWTON,,,,,,,
2017-WVWVS-S201740057,Little Huff,2017-04-11 12:59:59+00:00,,430.0,3014.0,Type 4 Incident,2017/04/11 12:59:59+00,Wyoming,US-WV,,WF,,2017,4,2017-04-11WVWYOMING,0.0,0.0,0.0,0.0,0.0,0.0,431.0
2015-OKOMA-015030,BIRD CREEK,2015-02-09 18:00:00+00:00,Human,16.0,2349.0,,,Okfuskee,US-OK,,WF,,2015,2,2015-02-09OKOKFUSKEE,,,,,,,
2017-NVWID-020134,Iron Point,2017-07-09 00:08:00+00:00,Natural,3618.2,150000.0,Type 4 Incident,2017/07/10 04:15:00+00,Humboldt,US-NV,Federal,WF,,2017,7,2017-07-09NVHUMBOLDT,0.0,0.0,0.0,0.0,0.0,0.0,55.38
2018-WAMSF-000151,Shannon Ridge,2018-07-24 17:29:00+00:00,Natural,0.1,4000.0,Type 5 Incident,2018/09/14 12:59:59+00,Whatcom,US-WA,Federal,WF,,2018,7,2018-07-24WAWHATCOM,,,,,,,
2017-OKOMA-017047,QUASSARTE,2017-03-16 20:29:59+00:00,Human,2218.0,185000.0,Type 4 Incident,2017/03/25 15:00:00+00,Hughes,US-OK,,WF,,2017,3,2017-03-16OKHUGHES,,,,,,,
2016-PAPAS-17161004,Ponderosa Court Fire,2016-03-09 19:49:00+00:00,Human,0.5,6000.0,Type 5 Incident,2016/03/09 19:49:00+00,Lehigh,US-PA,,WF,,2016,3,2016-03-09PALEHIGH,0.0,0.0,0.0,1.0,0.0,0.0,0.6
2016-FLEAQ-000005,High Trac,2016-10-20 22:44:59+00:00,Human,650.0,10000.0,Type 4 Incident,2016/10/24 12:00:00+00,Okaloosa,US-FL,,WF,,2016,10,2016-10-20FLOKALOOSA,,,,,,,
2018-AZASF-001344,Cinder,2018-09-27 00:34:04+00:00,Natural,500.0,50000.0,Type 4 Incident,2018/11/16 20:00:00+00,Apache,US-AZ,Federal,WF,,2018,9,2018-09-27AZAPACHE,,,,,,,
2018-ARARS-0169D8,Flora Church,2018-03-22 20:15:00+00:00,,472.0,2043.0,Type 5 Incident,2018/03/22 20:15:00+00,Fulton,US-AR,,WF,,2018,3,2018-03-22ARFULTON,,,,,,,
2018-UTVLD-100342,MONUMENT 2,2018-08-08 19:59:00+00:00,Natural,209.0,163500.0,Type 4 Incident,2018/08/10 00:59:59+00,Uintah,US-UT,Federal,WF,,2018,8,2018-08-08UTUINTAH,,,,,,,
2015-MSPRI-001250,Hernando Rd,2015-11-25 18:45:00+00:00,Human,2.0,200.0,Type 4 Incident,2015/12/27 18:59:59+00,Pontotoc,US-MS,,WF,,2015,11,2015-11-25MSPONTOTOC,,,,,,,
2016-GAGAS-100617,Colbert Hollow Rd Fire,2016-11-01 19:30:00+00:00,Human,118.0,10000.0,Type 3 Incident,2016/11/01 19:30:00+00,Catoosa,US-GA,,WF,,2016,11,2016-11-01GACATOOSA,,,,,,,
2015-IDIPF-000886,Whitetail,2015-08-14 16:34:00+00:00,Natural,1859.0,2001002.0,Type 3 Incident,2015/08/17 23:29:59+00,Shoshone,US-ID,Federal,WF,,2015,8,2015-08-14IDSHOSHONE,,,,,,,
2020-AKSWS-004129,4th of July Creek,2020-06-01 00:22:08+00:00,Natural,100.5,60565.0,Type 5 Incident,2020/06/02 05:00:00+00,Yukon-Koyukuk,US-AK,Other,WF,Grass,2020,6,2020-06-01AKYUKON-KOYUKUK,,,,,,,
2020-AROUF-002314,Switchback,2020-12-27 01:33:00+00:00,Human,280.0,16000.0,Type 4 Incident,2020/12/29 13:15:00+00,Le Flore,US-OK,Private,WF,Timber,2020,12,2020-12-27OKLE FLORE,,,,,,,
2015-OKANA-015043,TREED TURTLE FIRE,2015-09-17 20:19:59+00:00,Human,1.0,1500.0,Type 5 Incident,2015/09/17 20:29:59+00,Caddo,US-OK,Federal,WF,,2015,9,2015-09-17OKCADDO,,,,,,,
2018-KSGEX-000212,Boller,2018-03-02 21:45:00+00:00,Human,1050.0,9000.0,Type 4 Incident,2018/03/02 21:45:00+00,Riley,US-KS,,WF,,2018,3,2018-03-02KSRILEY,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2015-TXTXS-002037,Mertz,2015-10-07 13:09:00+00:00,Undetermined,2250.0,1.0,Type 5 Incident,2015/10/08 12:59:59+00,Schleicher,US-TX,Private,WF,,2015,10,2015-10-07TXSCHLEICHER,0.0,0.0,0.0,0.0,0.0,0.0,2250.0
2018-WYCMX-018267,RENO,2018-07-14 23:16:00+00:00,Natural,299.74,0.0,Type 4 Incident,2018/07/15 23:00:00+00,Campbell,US-WY,,WF,,2018,7,2018-07-14WYCAMPBELL,0.0,0.0,0.0,0.0,0.0,0.0,300.0
2015-AKUYD-000608,Rainbow,2015-06-24 18:55:54+00:00,Natural,14881.4,6211.0,Type 5 Incident,2015/08/04 04:44:59+00,Yukon-Koyukuk,US-AK,Federal,WF,,2015,6,2015-06-24AKYUKON-KOYUKUK,,,,,,,
2019-FLFNF-000426,Smith Still,2019-05-29 12:33:59+00:00,Natural,515.0,160000.0,Type 4 Incident,2019/07/15 20:00:00+00,Columbia,US-FL,Federal,WF,,2019,5,2019-05-29FLCOLUMBIA,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2019-AZCNF-000046,BENTON,2019-03-06 16:41:59+00:00,Human,565.0,80000.0,Type 4 Incident,2019/03/08 00:00:00+00,Santa Cruz,US-AZ,Federal,WF,,2019,3,2019-03-06AZSANTA CRUZ,0.0,0.0,0.0,0.0,0.0,0.0,2.3
2018-VAVAS-2018WR0050,Nickel Branch,2018-04-21 18:59:59+00:00,Human,390.0,1500.0,Type 4 Incident,2018/06/05 04:15:00+00,Dickenson,US-VA,,WF,,2018,4,2018-04-21VADICKENSON,2.0,0.0,3.0,0.0,0.0,0.0,7.0
2020-MSMSR-020017,EGLIN ROAD,2020-05-12 21:30:00+00:00,Human,166.0,28000.0,Type 4 Incident,2020/05/16 11:00:00+00,Jackson,US-MS,Federal,WF,,2020,5,2020-05-12MSJACKSON,181.0,0.0,151.0,0.0,0.0,0.0,110.0
2020-CACND-002309,STAGECOACH,2020-08-03 22:28:59+00:00,Unknown,7760.0,13856774.0,Type 4 Incident,2020/08/16 00:59:59+00,Kern,US-CA,Private,WF,,2020,8,2020-08-03CAKERN,0.0,0.0,0.0,0.0,0.0,0.0,7760.01
2017-MTBID-700801,Bobcat Pass,2017-09-08 17:16:59+00:00,Human,1339.0,225000.0,Type 3 Incident,2017/09/10 22:30:00+00,Carbon,US-MT,Federal,WF,,2017,9,2017-09-08MTCARBON,,,,,,,
2020-IDNCF-000757,Horse Point,2020-09-16 16:11:33+00:00,Natural,4.0,2000.0,Type 4 Incident,2020/10/15 18:59:59+00,Idaho,US-ID,Federal,WF,Timber,2020,9,2020-09-16IDIDAHO,,,,,,,
2020-CATUU-000298,GRADE,2020-06-22 07:10:31+00:00,Unknown,1050.0,800000.0,Type 3 Incident,2020/06/26 00:59:59+00,Tulare,US-CA,Private,WF,,2020,6,2020-06-22CATULARE,,,,,,,
2017-AZA3S-003361,MULBERRY,2017-05-06 20:55:59+00:00,Human,1755.0,780000.0,Type 5 Incident,2017/05/09 00:59:59+00,Pima,US-AZ,,WF,,2017,5,2017-05-06AZPIMA,,,,,,,
2020-AROZF-002085,Ford Ridge,2020-11-14 15:48:00+00:00,Human,185.0,25000.0,Type 4 Incident,2020/11/18 12:59:59+00,Crawford,US-AR,Federal,WF,Timber,2020,11,2020-11-14ARCRAWFORD,,,,,,,
2017-CAMDF-000656,RIMROCK,2017-07-24 22:39:12+00:00,Natural,1492.2,1.0,Type 3 Incident,2017/07/25 21:59:59+00,Modoc,US-CA,,WF,,2017,7,2017-07-24CAMODOC,0.0,0.0,0.0,0.0,0.0,0.0,5.149999999999999
2018-OKOSA-000227,WEST BUFORD,2018-02-03 20:10:00+00:00,Human,1400.0,17000.0,Type 4 Incident,2018/02/13 12:59:59+00,Osage,US-OK,,WF,,2018,2,2018-02-03OKOSAGE,,,,,,,
2014-MTCES-000055,LOG GULCH,2014-08-20 18:45:00+00:00,Human,215.0,265000.0,,,Lewis and Clark,US-MT,,WF,,2014,8,2014-08-20MTLEWIS AND CLARK,,,,,,,
2020-CAVNC-066767,HOLSER,2020-08-17 21:10:00+00:00,Human,2151.0,2768845.0,Type 4 Incident,2020/08/21 12:59:59+00,Ventura,US-CA,Private,WF,,2020,8,2020-08-17CAVENTURA,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2016-LAKIF-160003,WILD GOOSE,2016-02-09 17:23:59+00:00,Undetermined,871.0,6695.0,Type 3 Incident,2016/02/10 06:14:59+00,Natchitoches,US-LA,,WF,,2016,2,2016-02-09LANATCHITOCHES,15.0,0.0,5.0,6.0,0.0,0.0,871.0
2020-FLFLS-020350,WINTERHILL ROAD,2020-05-12 09:00:00+00:00,Human,122.0,76417.88,Type 4 Incident,2020/05/22 21:14:00+00,Bay,US-FL,,WF,,2020,5,2020-05-12FLBAY,15.0,0.0,0.0,0.0,0.0,0.0,122.0
2015-TXTXS-002040,RIMROCK RANCH,2015-10-18 18:52:00+00:00,Human,350.0,0.0,Type 5 Incident,2015/10/20 12:59:59+00,Crockett,US-TX,Private,WF,,2015,10,2015-10-18TXCROCKETT,7.0,0.0,0.0,0.0,0.0,0.0,350.0
2016-COWRF-000615,Maroon,2016-09-13 18:01:24+00:00,Natural,2.0,50000.0,Type 4 Incident,2016/11/23 14:00:00+00,Pitkin,US-CO,Federal,WF,,2016,9,2016-09-13COPITKIN,,,,,,,
2016-AKMID-000309,False Alarm 14,2016-06-26 00:10:03+00:00,Natural,0.1,0.0,,,Southeast Fairbanks,US-AK,Federal,WF,,2016,6,2016-06-26AKSOUTHEAST FAIRBANKS,,,,,,,
2018-IDPAF-000267,Keithly,2018-07-25 17:39:59+00:00,Natural,17600.0,2100000.0,Type 3 Incident,2018/08/01 14:00:00+00,Washington,US-ID,,WF,,2018,7,2018-07-25IDWASHINGTON,,,,,,,
2020-CAANF-003273,LAKE,2020-08-12 22:40:00+00:00,Unknown,31089.0,4000000.0,Type 3 Incident,2020/09/25 00:00:00+00,Los Angeles,US-CA,Private,WF,,2020,8,2020-08-12CALOS ANGELES,,,,,,,
2014-OR981S-140260,MOCCASIN HILL,2014-07-13 20:10:59+00:00,Undetermined,2535.0,3264201.0,,,Klamath,US-OR,,WF,,2014,7,2014-07-13ORKLAMATH,0.0,0.0,21.0,17.0,2.0,0.0,2578.0
2017-AKMID-000091,Bax 7,2017-05-11 21:45:43+00:00,Human,0.1,0.0,,,Southeast Fairbanks,US-AK,Federal,WF,,2017,5,2017-05-11AKSOUTHEAST FAIRBANKS,,,,,,,
2017-NVNNS-010234,Oil Well,2017-07-17 20:31:00+00:00,Human,7466.75,1200000.0,Type 3 Incident,2017/07/19 23:00:00+00,Elko,US-NV,,WF,,2017,7,2017-07-17NVELKO,200.0,7.0,0.0,21.0,0.0,0.0,7466.75
2017-FLFLS-160313,Trapper,2017-04-07 17:15:00+00:00,,161.0,4482.0,Type 4 Incident,2017/04/07 23:00:00+00,Martin,US-FL,,WF,,2017,4,2017-04-07FLMARTIN,4.0,0.0,1.0,0.0,0.0,0.0,161.0
2015-GAOKR-015014,ROWELLS ISLAND,2015-07-15 18:14:59+00:00,Natural,179.0,9000.0,Type 4 Incident,2015/07/20 18:00:00+00,Clinch,US-GA,Federal,WF,,2015,7,2015-07-15GACLINCH,,,,,,,
2016-OKECU-160013A,NORTH GAINES FIRE,2016-01-31 04:15:00+00:00,Human,500.0,1200.0,Type 4 Incident,2016/01/31 09:59:59+00,Latimer,US-OK,,WF,,2016,1,2016-01-31OKLATIMER,,,,,,,
2014-IDNCF-000675,Crew Creek,2014-08-20 14:13:29+00:00,Natural,35.0,1200.0,,,Idaho,US-ID,Federal,WF,,2014,8,2014-08-20IDIDAHO,,,,,,,
2019-NVELD-040117,Gregerson,2019-08-23 16:56:00+00:00,Natural,3320.0,490000.0,Type 4 Incident,2019/08/25 21:59:59+00,Lincoln,US-NV,Federal,WF,,2019,8,2019-08-23NVLINCOLN,0.0,0.0,0.0,0.0,0.0,0.0,3320.0
